Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
99,4566843198,sam97 (8/20),46.75,306.75,C Andre Drummond F Malik Beasley G Bones Hyland PF RJ Barrett PG Coby White SF Jimmy Butler SG Gradey Dick UTIL Jakob Poeltl,,Christian Braun,G,0.37%,0
99,4567239706,emao94 (2/20),0,306.75,C Jakob Poeltl F RJ Barrett G Malik Beasley PF Ausar Thompson PG Josh Giddey SF Paul George SG Kelly Oubre Jr. UTIL Jonathan Mogbo,,Julian Phillips,F,0.37%,13.5
101,4566843210,sam97 (20/20),46.75,306.5,C Andre Drummond F Matas Buzelis G Bones Hyland PF Jimmy Butler PG Cade Cunningham SF Malik Beasley SG Coby White UTIL Bam Adebayo,,DaQuan Jeffries,PF,0.32%,0
101,4566950221,misterpost (15/20),0,306.5,C Jakob Poeltl F RJ Barrett G Coby White PF Ausar Thompson PG Dru Smith SF Paul George SG Malik Beasley UTIL Josh Giddey,,Peyton Watson,PF,0.32%,9.5
101,4567106148,shutt29,0,306.5,C Nikola Vucevic F Jonathan Mogbo G Gradey Dick PF Jimmy Butler PG Cade Cunningham SF Matas Buzelis SG Ayo Dosunmu UTIL Duncan Robinson,,Ty Jerome,PG,0.31%,19.25
104,4566951498,IronM1ke53 (5/20),0,306,C Day'Ron Sharpe F Talen Horton-Tucker G Josh Giddey PF RJ Barrett PG Tyrese Maxey SF Malik Beasley SG Coby White UTIL Jakob Poeltl,,Jordan Miller,F,0.29%,0
104,4567578347,upstatecurler (2/2),0,306,C Nikola Vucevic F Isaac Okoro G Gradey Dick PF Patrick Williams PG Coby White SF RJ Barrett SG Duncan Robinson UTIL Jimmy Butler,,Isaiah Wong,UTIL,0.28%,9.5
106,4567460821,fvme_85 (7/15),46.75,305.75,C Bam Adebayo F Jonathan Mogbo G Kevin Porter Jr. PF Jimmy Butler PG Josh Giddey SF Malik Beasley SG Caris LeVert UTIL RJ Barrett,,Jae Crowder,F,0.27%,2
107,4566504888,Spizzwolf (10/20),46.75,305.5,C Day'Ron Sharpe F RJ Barrett G Bones Hyland PF Ausar Thompson PG Cade Cunningham SF Malik Beasley SG Coby White UTIL Nikola Vucevic,,Kelly Olynyk,UTIL,0.25%,15.75
108,4567359508,unclehans (2/15),46.75,305.25,C Jakob Poeltl F Jimmy Butler G Cade Cunningham PF Patrick Williams PG Kevin Porter Jr. SF Ausar Thompson SG Kelly Oubre Jr. UTIL Jarrett Allen,,Marcus Sasser,G,0.20%,13
108,4567391389,BlitzKing (1/5),34,305.25,C Jalen Duren F Ausar Thompson G Tyler Herro PF Haywood Highsmith PG Cade Cunningham SF Jimmy Butler SG Malik Monk UTIL Mark Williams,,Johnny Juzang,SF,0.17%,0
110,4566530677,egreteman (8/20),0,305,C Andre Drummond F Miles Bridges G Tyrese Maxey PF RJ Barrett PG Lonzo Ball SF Ronald Holland II SG Gradey Dick UTIL Cameron Johnson,,Trendon Watford,UTIL,0.13%,8.5
110,4567530078,Skele1 (2/2),0,305,C Bam Adebayo F Tim Hardaway Jr. G Kelly Oubre Jr. PF Patrick Williams PG LaMelo Ball SF Jimmy Butler SG Ayo Dosunmu UTIL Josh Green,,Kyle Lowry,G,0.13%,9.75
112,4567534901,frankstanks24,34,304.75,C Nick Richards F Jimmy Butler G Cade Cunningham PF Chris Boucher PG Davion Mitchell SF Cameron Johnson SG Kelly Oubre Jr. UTIL Michael Porter Jr.,,Kyle Filipowski,F,0.13%,0
112,4566502203,bostickjason (1/12),0,304.75,C Jakob Poeltl F Malik Beasley G Josh Giddey PF Miles Bridges PG Tyler Herro SF Jimmy Butler SG Ayo Dosunmu UTIL Duncan Robinson,,Colby Jones,SF,0.13%,2
