Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Feasibility,Weighted Feasibility,Tournament Feasibility,Team_Contest_Rank,Player_Pool_Size,Proj_Salary_Ratio,Normalized_Value,Log_Proj,Prev_Salary_Mean,Salary_Proj_Interaction,Value_Feasibility_Interaction,Proj_Feasibility_Interaction,Low_Minutes_Flag,Low_Minutes_Penalty,Team_Total_Points_Proj,Player_Points_Percentage,Value_Plus,Ceiling_Plus,Custom_Target,Rank,Preliminary_Predictions,Scaled_Predictions,Group_Rank,Dynamic_Shift,Predicted Ownership
13,Jaime Jaquez Jr.,3900,15.41,3.95,2.53,14863,3,-4.09,SF/PF,MIA,1.97,17.0,1.30951,1446.0,0.0001232321649036,6.0,104,0.003951282051282051,0.6512424887247559,2.7978909051019993,3833.3333333333335,60099.0,5.1725645,20.1795491,0,0.0,1603.08,0.009612745464979915,-0.1899999999999995,-2.120000000000001,0.025421999843254585,42.0,0.03356615879843683,4.556915651929358,38.0,0.4582772961789379,5.547373011070108
13,Dru Smith,4300,14.17,3.3,2.48,14863,3,-7.33,PG,MIA,1.05,20.0,1.5562,971.0,2.822011175438644e-05,7.0,104,0.0032953488372093023,0.36442255102331933,2.719319793360441,3966.6666666666665,60931.0,5.13546,22.051354,0,0.0,1603.08,0.008839234473638246,-3.0299999999999994,-6.279999999999999,0.024827937910636866,43.0,0.009790868107576012,1.3292006509683456,62.0,0.466029110426849,2.0500290604836238
13,KJ Martin,4100,12.34,3.01,2.23,14863,3,-8.16,PF,PHI,1.0,20.0,1.5559999999999998,939.0,5.668483021070443e-05,7.0,104,0.0030097560975609755,0.2364567326642169,2.590767040487478,3933.3333333333335,50594.0,4.683559999999999,19.20104,0,0.0,1721.99,0.0071661275617163865,-4.059999999999999,-7.16,0.02235611798190862,44.0,0.013853557394309712,1.8807481935636778,55.0,0.4636354749803186,2.3073822845924363
13,Andre Drummond,6000,13.2,2.2,1.7,14863,3,-16.8,C,PHI,3.05,13.0,0.989235,751.0,1.4961084399740016e-05,6.0,104,0.0021999999999999997,-0.12096503585603437,2.653241964607215,4533.333333333333,79200.0,2.176317,13.057901999999999,0,0.0,1721.99,0.007665549741868419,-10.8,-13.75,0.01701481147355576,45.0,0.015414753483874222,2.0926949623014437,53.0,0.4629703908693888,2.358730371597518
13,Ty Jerome,3500,11.5,3.29,1.45,14863,3,-6.0,PG,CLE,1.86,12.0,0.9271199999999999,0.0,0.0,10.0,104,0.003285714285714286,0.3600099365971435,2.5257286443082556,4500.0,40250.0,3.0502248,10.66188,1,11.5,1920.61,0.005987680997183187,-2.5,-4.140000000000001,0.014500000000000013,46.0,0.018428105499427305,2.501785291847469,50.0,0.46198919836687574,0.00524215246084151
13,Haywood Highsmith,3800,11.03,2.9,1.33,14863,3,-7.97,SF/PF,MIA,0.65,17.0,1.319455,0.0,0.0,8.0,104,0.002902631578947368,0.1879179739762816,2.4874035299865875,4300.0,41914.0,3.8264195,14.55358865,0,0.0,1603.08,0.006880505027821443,-4.17,-7.32,0.013300000000000013,47.0,0.013077094068671746,1.7753361354549153,57.0,0.4643090794531265,2.0703126538326466
13,Sam Merrill,3600,12.66,3.52,1.32,14863,3,-5.34,SG,CLE,0.84,18.0,1.3914,1287.0,8.60689782168625e-05,8.0,104,0.0035166666666666666,0.46150006839919017,2.614471854142644,3700.0,45576.0,4.897728,17.615124,0,0.0,1920.61,0.006591655776029491,-1.7400000000000002,-4.5,0.013285208288434706,48.0,0.01949740395205013,2.646952419388071,49.0,0.46166662794073116,3.545019022682773
13,Eric Gordon,3200,9.71,3.03,0.99,14863,3,-6.29,SG/SF,PHI,0.6,17.0,1.325235,0.0,0.0,8.0,104,0.003034375,0.2452819615165688,2.3711778844596574,3533.3333333333335,31072.000000000004,4.01546205,12.868031850000001,0,0.0,1721.99,0.0056388248479956335,-3.09,-5.6899999999999995,0.00990000000000001,49.0,0.004440265823981715,0.6028070400766731,68.0,0.4681579858011527,0.005242138032517394
13,Guerschon Yabusele,5000,17.99,3.6,0.97,14863,3,-7.01,PF/C,PHI,1.86,24.0,1.8679199999999998,1153.0,4.228008711978198e-05,5.0,104,0.0035979999999999996,0.4968009838085977,2.9439125248241944,4033.3333333333335,89949.99999999999,6.724512,33.60388079999999,0,0.0,1721.99,0.010447215140622187,-2.0100000000000016,-5.150000000000002,0.009741857286248594,50.0,0.026485725390283266,3.595681510906314,43.0,0.45978054498749454,4.518837084748423
13,Kenrich Williams,3200,11.59,3.62,0.87,14863,3,-4.41,PF/C,OKC,1.08,14.0,1.08318,0.0,0.0,9.0,104,0.003621875,0.5056262126609496,2.532902848056256,3866.6666666666665,37088.0,3.9211116,12.5540562,0,0.0,1935.54,0.005987993014869236,-1.2100000000000009,-3.33,0.008700000000000008,51.0,0.006735049036420637,0.9143450269324894,63.0,0.46637911309949626,0.005242133943924202
