Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Precious Achiuwa,C/PF/F/UTIL,NYK,21.51837673611111,8.579687884292401,10.65%,0.8%,8.25%,14.51%,$-5.75,41
CJ McCollum,PG/SG/G/UTIL,NOP,38.1,10.65,16.85%,0.0%,5.64%,2.73%,$-5.76,48
Paolo Banchero,PF/F/UTIL,ORL,41.88,16.96,14.2%,0.31%,10.07%,5.0%,$-5.81,48
Zach LaVine,SF/SG/G/F/UTIL,CHI,40.4,11.8,14.18%,0.25%,6.44%,2.39%,$-5.81,48
Ja Morant,PG/G/UTIL,MEM,42.56,15.47,14.92%,0.08%,6.8%,4.97%,$-5.87,48
Coby White,PG/SG/G/UTIL,CHI,33.77,9.32,14.21%,0.1%,8.12%,5.22%,$-5.95,48
Clint Capela,C/UTIL,ATL,27.87,13.31,15.96%,0.0%,1.72%,3.83%,$-5.97,48
Chris Paul,PG/G/UTIL,SAS,32.78,10.81,13.42%,0.03%,4.15%,4.45%,$-6.04,48
Bobby Portis,C/PF/F/UTIL,MIL,24.95,11.99,10.85%,0.77%,5.03%,3.38%,$-6.05,48
Santi Aldama,PF/F/UTIL,MEM,20.76,9.87,12.08%,0.54%,3.7%,4.11%,$-6.06,48
Yves Missi,C/UTIL,NOP,24.25,8.9,13.0%,0.02%,1.47%,3.66%,$-6.11,48
Taurean Prince,PF/SF/F/UTIL,MIL,14.78,5.42,13.76%,0.0%,0.14%,0.1%,$-6.11,48
Dennis Schroder,PG/SG/G/UTIL,GSW,27.19,9.83,6.71%,1.02%,2.22%,1.45%,$-6.19,48
Isaiah Collier,PG/SG/G/UTIL,UTA,26.22,8.43,12.37%,0.02%,4.15%,3.27%,$-6.20,48
Svi Mykhailiuk,SF/SG/G/F/UTIL,UTA,18.53,9.54,6.02%,1.51%,0.43%,0.4%,$-6.23,48
Dyson Daniels,PG/SG/G/UTIL,ATL,36.18,9.01,10.19%,0.56%,4.72%,3.02%,$-6.24,48
Kristaps Porzingis,C/UTIL,BOS,39.56,14.19,11.56%,0.21%,3.29%,5.94%,$-6.30,48
Miles Bridges,PF/F/UTIL,CHA,35.56,11.21,11.99%,0.0%,2.9%,1.73%,$-6.32,48
Khris Middleton,SF/SG/G/F/UTIL,MIL,25.37,11.31,11.54%,0.03%,6.28%,3.07%,$-6.39,48
Brandon Clarke,C/UTIL,MEM,17.4,8.86,10.27%,0.0%,0.41%,0.66%,$-6.40,48
Jaden McDaniels,SF/F/UTIL,MIN,24.45,7.12,10.89%,0.01%,3.26%,3.5%,$-6.42,48
Tristan da Silva,PF/SF/F/UTIL,ORL,25.34,7.09,10.86%,0.17%,5.21%,3.68%,$-6.45,48
Fred VanVleet,PG/G/UTIL,HOU,35.51,8.06,11.74%,0.0%,0.97%,0.79%,$-6.48,48
Pat Connaughton,PF/SF/F/UTIL,MIL,7.14,4.13,10.71%,0.0%,0.14%,0.1%,$-6.48,48
Nikola Vucevic,C/UTIL,CHI,40.95,13.08,10.88%,0.0%,2.97%,3.36%,$-6.53,48
Torrey Craig,PF/F/UTIL,CHI,0,0.0,12.52%,0.0%,0.09%,0.03%,$-6.56,48
Josh Green,PF/SF/F/UTIL,CHA,16.34,4.78,11.91%,0.0%,0.18%,0.1%,$-6.60,48
Michael Porter Jr.,PF/SF/F/UTIL,DEN,29.52,9.5,9.5%,0.02%,3.42%,1.8%,$-6.63,48
Desmond Bane,SG/G/UTIL,MEM,36.17,11.67,10.2%,0.01%,3.26%,2.14%,$-6.64,48
Luke Kennard,PG/SG/G/UTIL,MEM,17.77,7.72,5.92%,0.24%,0.43%,0.52%,$-6.65,48
Aaron Gordon,PF/F/UTIL,DEN,18.15,8.7,11.53%,0.0%,0.29%,0.37%,$-6.65,48
