Name,Position,Team,Site,Projection,Price,Value,Ownership,+/-,Opponent,Team Total,Game Total,min,max,lock,exclude,Projections 👉,Points,3 pointers,Rebounds,Assists,Blocks,Steals,Turnovers,Minutes,Site ID,Slate ID
Ej Liddell,C,CHI,dk,0.00,3000,0,0,-15,SAS,117,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176246,36902774
Cameron Payne,PG/SG,NYK,dk,0.00,3600,0,0,-18,CHA,116.25,218,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792338,36902477
Markieff Morris,PF/C,DAL,dk,0.00,3000,0,0,-15,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469085,36902781
Patrick Williams,PF,CHI,dk,0.00,4400,0,0,-22,SAS,117,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174904,36902358
Naji Marshall,SF/PF,DAL,dk,0.00,5600,0,0,-28,WAS,123,232,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060704,36902218
Dj Steward,PG,CHI,dk,0.00,3000,0,0,-15,SAS,117,236,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230357,36902768
Zion Williamson,C,NOP,dk,0.00,8700,0,0,-43,PHX,110.75,223,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132025,36902056
Jacob Toppin,SF/PF,NYK,dk,0.00,3000,0,0,-15,CHA,116.25,218,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176741,36902598
Luke Travers,SF,CLE,dk,0.00,3000,0,0,-15,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352114,36902684
JT Thor,PF,CLE,dk,0.00,3000,0,0,-15,DEN,118,232.5,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251663,36902681
Vince Williams Jr,PF,MEM,dk,0.00,4000,0,0,-20,SAC,123.25,243,,,,,Proj 👉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134869,36902432
