id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
5898,Vincent,Gabe,9.55,LAL,G,SAS,17.00,4.24,0.87,1.26,1.41,0.67,0.07,0.60,0.69,0.25,0.08,1.56,2.46,0.00,0.000,,
6952,Walter,Ja'Kobe,9.37,TOR,G,GSW,12.00,4.77,0.66,1.84,0.93,0.30,0.14,0.62,1.18,0.43,0.18,1.84,2.89,0.00,0.000,,
6513,Agbaji,Ochai,9.22,TOR,G,GSW,14.00,4.28,0.62,1.89,0.76,0.34,0.34,0.47,1.11,0.20,0.09,1.73,1.80,0.00,0.000,Questionable,
5040,Payne,Cam,9.06,NYK,G,DET,10.00,4.32,0.92,0.92,1.57,0.38,0.14,0.53,0.64,0.28,0.05,1.56,2.12,0.00,0.000,,
6369,Huff,Jay,8.80,MEM,C,@ HOU,9.00,4.41,0.67,1.58,0.46,0.20,0.60,0.42,0.83,0.74,0.16,1.50,1.71,0.00,0.000,,
2810,Batum,Nicolas,8.28,LAC,F,MIA,13.00,2.61,0.65,2.19,1.01,0.38,0.26,0.37,0.26,0.14,0.04,0.91,1.27,0.00,0.000,,
6571,Santos,Gui,7.98,GSW,F,@ TOR,9.00,3.65,0.51,1.80,0.77,0.28,0.18,0.51,0.79,0.54,0.18,1.30,1.55,0.00,0.000,,
5713,Shamet,Landry,7.85,NYK,G,DET,12.00,4.37,0.84,0.93,0.75,0.40,0.11,0.49,0.68,0.49,0.09,1.52,2.26,0.00,0.000,,
6979,Larsson,Pelle,7.74,MIA,G,@ LAC,12.00,3.52,0.41,1.47,1.00,0.40,0.09,0.61,0.87,0.55,0.22,1.28,1.40,0.00,0.000,,
3356,Burks,Alec,7.33,MIA,G,@ LAC,10.00,3.55,0.63,1.19,1.00,0.30,0.07,0.53,0.49,0.68,0.12,1.12,1.65,0.00,0.000,,
6109,Reddish,Cam,6.55,LAL,F,SAS,13.00,2.18,0.30,1.35,0.62,0.64,0.24,0.31,0.49,0.30,0.16,0.79,1.21,0.00,0.000,,
6543,Minott,Josh,5.88,MIN,F,@ WAS,6.00,2.44,0.23,1.15,0.51,0.30,0.32,0.24,0.72,0.31,0.07,0.95,1.22,0.00,0.000,,
6678,Spencer,Pat,5.51,GSW,G,@ TOR,8.00,1.93,0.30,1.03,1.14,0.27,0.07,0.49,0.43,0.17,0.05,0.73,1.26,0.00,0.000,,
6079,Hayes,Jaxson,4.92,LAL,C,SAS,6.00,2.07,0.02,1.44,0.23,0.21,0.20,0.25,0.80,0.41,0.17,0.82,0.51,0.00,0.000,,
