Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
101,4655027009,dahoward1974 (1/5),288.91998,59,C Jakob Poeltl F Franz Wagner G Ja'Kobe Walter PF Tari Eason PG Tyrese Haliburton SF Aaron Nesmith SG Jalen Green UTIL LOCKED,,,
102,4655032321,Gsmoney2469 (7/12),311.71997,58.5,C Mitchell Robinson F RJ Barrett G Jalen Green PF Paolo Banchero PG Tyrese Haliburton SF Aaron Nesmith SG LOCKED UTIL LOCKED,,,
102,4655527528,hangtime1962 (2/4),301.16,58.5,C Wendell Carter Jr. F Paolo Banchero G Ja'Kobe Walter PF Precious Achiuwa PG Reed Sheppard SF Franz Wagner SG Andrew Nembhard UTIL Giannis Antetokounmpo,,,
104,4655581676,bogbogdanovic (2/3),307.75,58.25,C Wendell Carter Jr. F OG Anunoby G LOCKED PF Jabari Smith Jr. PG Tyrese Haliburton SF Aaron Nesmith SG Brandin Podziemski UTIL Jakob Poeltl,,,
104,4655424967,gygabyte (5/7),295.38,58.25,C Alperen Sengun F Amen Thompson G LOCKED PF Dillon Brooks PG Tyrese Haliburton SF Aaron Nesmith SG Jalen Green UTIL LOCKED,,,
106,4655528947,Erossblu1 (1/2),306.46,58,C Jakob Poeltl F LOCKED G LOCKED PF Paolo Banchero PG Tyrese Haliburton SF Franz Wagner SG Andrew Nembhard UTIL Anthony Black,,,
107,4655221644,mcarbajal8,319.75,57.75,C Alperen Sengun F Mikal Bridges G Ja'Kobe Walter PF OG Anunoby PG Amen Thompson SF LOCKED SG Andrew Nembhard UTIL LOCKED,,,
107,4655327260,miksam (1/2),310.52,57.75,C Wendell Carter Jr. F Franz Wagner G Mikal Bridges PF OG Anunoby PG Tyrese Haliburton SF Ja'Kobe Walter SG Jalen Green UTIL LOCKED,,,
107,4655157227,bdk1,303.69,57.75,C Jabari Smith Jr. F LOCKED G LOCKED PF Dillon Brooks PG Immanuel Quickley SF Aaron Nesmith SG RJ Barrett UTIL Paolo Banchero,,,
110,4655608504,BallinIsAHabit83 (1/2),306.18,57.5,C Alperen Sengun F Dillon Brooks G Jalen Green PF LOCKED PG Tyrese Haliburton SF Mikal Bridges SG Andrew Nembhard UTIL LOCKED,,,
110,4655608505,BallinIsAHabit83 (2/2),306.18,57.5,C Alperen Sengun F Dillon Brooks G Jalen Green PF LOCKED PG Tyrese Haliburton SF Mikal Bridges SG Andrew Nembhard UTIL LOCKED,,,
