Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
2,Keyonte George,5900,29.88,5.07,8.83,19406,7,0.38,PG,UTA,3.75,27.7,24,31.8,24,Keyonte George
2,Moritz Wagner,4500,23.73,5.27,8.7,19406,7,1.23,C,ORL,5.37,17.7,18,26.3,-13,Moritz Wagner
2,Julius Randle,7300,36.47,5,8.67,19406,7,-0.03,PF/C,MIN,6.37,34.6,24,34.8,3,Julius Randle
2,Jrue Holiday,5100,26.56,5.21,8.64,19406,7,1.06,PG,BOS,2.6,33,34,41.3,4,Jrue Holiday
2,Deandre Ayton,6800,36.12,5.31,8.58,19406,7,2.12,C,POR,6.45,31.7,17,16,-29,Deandre Ayton
2,Jayson Tatum,10000,49.14,4.91,8.44,19406,7,-0.86,SF/PF,BOS,12.35,36.2,37,55.5,14,Jayson Tatum
2,Franz Wagner,9500,47.31,4.98,8.22,19406,7,-0.19,SF/PF,ORL,10.83,32.5,38,47.3,-5,Franz Wagner
2,Payton Pritchard,5800,24.36,4.2,8,19406,7,-4.64,PG/SG,BOS,2.91,22.7,24,6.8,-4,Payton Pritchard
2,Malik Monk,7000,33.38,4.77,6.99,19406,7,-1.62,PG/SG,SAC,4.66,26.2,34,42.3,5,Malik Monk
2,DeMar DeRozan,7400,36.5,4.93,6.98,19406,7,-0.5,SF/PF,SAC,5.5,37.2,32,31.3,10,DeMar DeRozan
2,Jaylen Brown,8600,40.95,4.76,6.48,19406,7,-2.05,SG/SF,BOS,7.33,34.1,34,36.3,5,Jaylen Brown
2,Jalen Smith,3300,16.03,4.86,6.45,19406,7,-0.47,C,CHI,2.7,15.7,18,20.8,0,Jalen Smith
2,Paul George,7600,34.83,4.58,6.24,19406,7,-3.17,SF/PF,PHI,5.7,33.1,37,41.5,7,Paul George
2,Jonathan Kuminga,5200,22.26,4.28,6,19406,7,-3.74,PF,GSW,4.08,25.5,29,20,-7,Jonathan Kuminga
2,Anthony Edwards,8900,43.18,4.85,5.88,19406,7,-1.32,PG/SG,MIN,8.41,35.8,35,54.5,23,Anthony Edwards
2,Zach Collins,5000,24.53,4.91,5.74,19406,7,-0.47,C,SAS,4.46,20.5,9,6,1,Zach Collins
2,Giannis Antetokounmpo,12000,54.18,4.52,5.55,19406,7,-5.82,PF/C,MIL,21.64,34.8,36,44.8,-4,Giannis Antetokounmpo
2,Rudy Gobert,6600,34.93,5.29,5.46,19406,7,1.93,C,MIN,4.44,33.8,35,32.8,19,Rudy Gobert
2,Collin Sexton,6200,29.96,4.83,4.83,19406,7,-1.04,PG/SG,UTA,4.48,26.8,23,29,31,Collin Sexton
2,Trae Young,9100,44.62,4.9,4.63,19406,7,-0.88,PG,ATL,9.09,35.4,42,71,-6,Trae Young
2,Zaccharie Risacher,3900,19.5,5,4.54,19406,7,0,SF,ATL,1.99,24,22,20,-2,Zaccharie Risacher
2,Onyeka Okongwu,4400,23,5.23,4.49,19406,7,1,C,ATL,3.61,24.9,29,24,2,Onyeka Okongwu
2,Gabe Vincent,3400,11.69,3.44,4.34,19406,7,-5.31,PG/SG,LAL,0.44,17.5,34,27.8,4,Gabe Vincent
